"filename", "language", "PHP", "JavaScript", "Vue.js", "comment", "blank", "total"
"c:\xampp\htdocs\app\resources\js\pages\PortfolioAll.vue", "Vue.js", 0, 0, -453, -6, -54, -513
"c:\xampp\htdocs\app\resources\js\pages\Purchases.vue", "Vue.js", 0, 0, -357, -3, -47, -407
"c:\xampp\htdocs\app\resources\js\pages\Register.vue", "Vue.js", 0, 0, -256, -4, -7, -267
"c:\xampp\htdocs\app\resources\js\pages\RegisterUser.vue", "Vue.js", 0, 0, -68, 0, -7, -75
"c:\xampp\htdocs\app\resources\js\pages\Store.vue", "Vue.js", 0, 0, -458, -6, -42, -506
"c:\xampp\htdocs\app\resources\js\pages\ThankYou.vue", "Vue.js", 0, 0, -185, 0, -5, -190
"c:\xampp\htdocs\app\resources\js\pages\Topicspost.vue", "Vue.js", 0, 0, -164, -7, -23, -194
"c:\xampp\htdocs\app\resources\js\pages\User_orders.vue", "Vue.js", 0, 0, -432, -4, -44, -480
"c:\xampp\htdocs\app\resources\js\pages\User_profile.vue", "Vue.js", 0, 0, -219, 0, -15, -234
"c:\xampp\htdocs\app\resources\js\pages\createuserpost.vue", "Vue.js", 0, 0, -102, -2, -6, -110
"c:\xampp\htdocs\app\resources\js\pages\new_store.vue", "Vue.js", 0, 0, -53, -173, 0, -226
"c:\xampp\htdocs\app\resources\js\pages\orderlist.vue", "Vue.js", 0, 0, -117, -487, -11, -615
"c:\xampp\htdocs\app\resources\js\pages\payment_options.vue", "Vue.js", 0, 0, -304, -3, -17, -324
"c:\xampp\htdocs\app\resources\js\pages\pleaselogin.vue", "Vue.js", 0, 0, -102, -3, -9, -114
"c:\xampp\htdocs\app\resources\js\pages\updatefeedback.vue", "Vue.js", 0, 0, -96, -1, -3, -100
"c:\xampp\htdocs\app\resources\js\pages\updateportfolio.vue", "Vue.js", 0, 0, -101, -1, -2, -104
"c:\xampp\htdocs\app\resources\js\pages\updatetopic.vue", "Vue.js", 0, 0, -94, -1, -2, -97
"c:\xampp\htdocs\app\resources\js\pages\updateuser.vue", "Vue.js", 0, 0, -103, -1, -3, -107
"c:\xampp\htdocs\app\resources\js\routes.js", "JavaScript", 0, -417, 0, -1, -15, -433
"c:\xampp\htdocs\app\resources\js\vuetify.js", "JavaScript", 0, -16, 0, 0, -1, -17
"Total", "-", 1488, -465, -11367, -3186, -486, -14016
